t,v
1516274315,1735
1516274523,1664
1516274741,1793
1516274954,1803
1516275164,1751
1516275372,1675
1516275582,1776
1516275799,1721
1516276011,1795
1516276220,1718
1516276430,1679
1516276646,1816
1516287109,1677
1516287317,1815
1516287527,1725
1516287743,1726
1516287960,1746
1516288168,1734
1516288378,1699
1516288586,1762
1516288803,1813
1516289018,1721
1516289228,1681
1516289436,1813
1516289655,1729
1516289863,1724
1516290073,1808
1516290281,1707
1516300667,1728
1516300875,1735
1516301089,1705
1516301297,1797
1516301507,1812
1516301723,1680
1516301939,1680
1516302148,1813
1516302358,1734
1516302566,1667
1516302784,1798
1516302994,1683
1516303205,1805
1516303413,1713
1516303631,1671
1516314016,1797
1516314226,1813
1516314434,1678
1516314653,1785
1516314861,1717
1516315071,1679
1516315280,1813
1516315490,1731
1516315706,1712
1516315916,1812
1516316125,1696
1516316335,1694
1516316543,1739
1516316761,1715
1516316973,1712
1516317184,1671
1516327574,1677
1516327793,1776
1516328007,1755
1516328218,1718
1516328426,1780
1516328645,1814
1516328853,1679
1516329064,1810
1516329273,1699
1516329483,1680
1516329699,1734
1516329909,1699
1516330118,1807
1516330328,1739
1516330536,1674
1516340929,1717
1516341137,1776
1516341347,1815
1516341555,1696
1516341773,1680
1516341988,1809
1516342198,1734
1516342406,1663
1516342624,1797
1516342832,1718
1516343047,1813
1516343255,1680
1516343465,1749
1516343681,1727
1516343892,1811
1516344103,1699
1516354486,1797
1516354702,1712
1516354912,1683
1516355121,1737
1516355331,1712
1516355539,1793
1516355757,1814
1516355971,1733
1516356181,1706
1516356389,1805
1516356599,1737
1516356816,1657
1516357028,1737
1516357237,1655
1516357447,1789
1516367835,1681
1516368047,1814
1516368255,1685
1516368466,1721
1516368682,1728
1516368892,1805
1516369104,1709
1516369314,1663
1516369523,1805
1516369741,1719
1516369954,1699
1516370164,1671
1516370372,1744
1516370583,1715
1516370799,1774
1516371011,1710
1516381393,1731
1516381603,1697
1516381819,1808
1516382036,1808
1516382244,1702
1516382454,1669
1516382670,1776
1516382880,1744
1516383092,1730
